STATE,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,PROGRAM_CURRENT_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,PROGRAM_OTHER_EXPENDITURE,PROGRAM_NON_ELSEC_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
California,1998,39183018,3149260,22840500,13193258,38087666,32306144,20083913,10939061,1283170,579504,4335730
Colorado,1998,4357512,213562,1879850,2264100,4739136,3859237,2253623,1470619,134995,23793,622534
Connecticut,1998,5024673,189689,1828216,3006768,4810851,4423526,2844608,1444460,134458,27867,144785
Delaware,1998,934530,59955,594617,279958,915207,818884,511618,275898,31368,9667,61153
District of Columbia,1998,706938,116366,0,590572,716740,653460,283484,339972,30004,3389,59891
Florida,1998,15595671,1116607,7742607,6736457,15155383,12395804,7160434,4604765,630605,442425,1949539
Georgia,1998,9207163,594406,4737025,3875732,8990897,7745497,4822729,2477958,444810,43561,1023011
Hawaii,1998,1279125,107149,1141001,30975,1266378,1112525,712023,328519,71983,32367,121486
Idaho,1998,1310960,90011,822017,398932,1342719,1142684,714369,377484,50831,2959,165324
Illinois,1998,14688777,962367,4807076,8919334,15207067,12461023,7391186,4544061,525776,112106,1917001
Indiana,1998,7656749,343921,3770236,3542592,7649103,6097057,3745167,2089790,262100,90506,766633
Iowa,1998,3589705,168098,1715712,1705895,3650286,2986548,1827658,1022484,136406,8818,325840
Kansas,1998,3207670,188910,1868123,1150637,3087318,2715746,1536690,1013241,165815,27884,188870
Kentucky,1998,3938009,367810,2411836,1158363,4018512,3495019,2116458,1179822,198739,42970,400122
Louisiana,1998,4443468,498082,2266287,1679099,4379797,3949775,2387847,1265136,296792,25275,310116
Maine,1998,1611926,82445,696430,833051,1601411,1417377,949523,422020,45834,15003,83017
Maryland,1998,6521269,325321,2514101,3681847,6519389,5768777,3584678,1902782,281317,21657,558202
Massachusetts,1998,7726497,366880,3183950,4175667,8098720,7261148,4849603,2173146,238399,16701,469395
Michigan,1998,14712250,866216,9474264,4371770,14905765,11796988,6895840,4546053,355095,308732,1723267
Minnesota,1998,6672384,313550,3363505,2995329,6815289,5325900,3384437,1721705,219758,232724,781250
Mississippi,1998,2400660,322350,1319058,759252,2543454,2165131,1320613,678492,166026,7375,333170
Missouri,1998,5990499,387035,2873051,2730413,5849648,5000496,3083844,1693964,222688,104757,553090
Montana,1998,1035636,102844,478345,454447,1007146,917330,575114,306419,35797,3461,73846
Nebraska,1998,2062836,130904,663420,1268512,1966403,1691290,1086607,528690,75993,3010,213815
Nevada,1998,1906860,84699,1193619,628542,2030065,1567936,943345,575000,49591,11117,340415
New Hampshire,1998,1420100,51977,127621,1240502,1428447,1228189,808107,378359,41723,3254,94615
New Jersey,1998,13786951,477055,5246527,8063369,13973201,12075246,7267644,4442457,365145,151242,1110805
New Mexico,1998,1913783,253889,1383314,276580,1933538,1648514,941273,620639,86602,9277,247033
New York,1998,27900803,1522836,11033327,15344640,29853891,25356645,17266937,7384638,705070,339787,2723181
North Carolina,1998,7516979,520499,4821450,2175030,7688076,6475993,4130685,1936511,408797,51021,994055
North Dakota,1998,731384,85963,284970,360451,715126,600994,366639,184916,49439,4838,57202
Ohio,1998,13577343,755883,5539484,7281976,13005301,11389666,6688427,4268412,432827,230531,1126127
Oklahoma,1998,3559980,312708,2053438,1193834,3617938,3090306,1811901,1079168,199237,158764,328855
Oregon,1998,3892091,245664,2205951,1440476,3939722,3492926,2067377,1304874,120675,19237,319162
Pennsylvania,1998,15671363,856423,5783893,9031047,16432921,13237027,8346538,4414783,475706,139391,1659536
Rhode Island,1998,1255280,67433,503267,684580,1221558,1159736,762746,355309,41681,7084,24136
South Carolina,1998,4109130,328411,2144562,1636157,4241163,3473572,2072959,1183620,216993,37904,620396
South Dakota,1998,793101,77009,281856,434236,781279,651582,403237,214983,33362,974,107579
Tennessee,1998,4757639,405078,2268050,2084511,4988208,4353472,2829375,1291193,232904,41239,494391
Texas,1998,24485263,1830474,10632566,12022223,25723965,20825985,12804069,6944751,1077165,131919,3561286
Utah,1998,2295870,166979,1394158,734733,2326611,1897982,1250866,536216,110900,56239,307674
Vermont,1998,1089658,44750,253591,791317,1064388,725086,461901,240460,22725,2313,63485
Virginia,1998,7723744,401716,3046785,4275243,7813707,6652133,4109813,2275415,266905,141593,796239
Washington,1998,6928738,438391,4546140,1944207,7211601,5899892,3520841,2098952,280099,31627,997000
West Virginia,1998,2178936,202626,1351721,624589,2100841,1888329,1168793,606055,113481,27618,171688
Wisconsin,1998,7083655,318567,3918690,2846398,7532110,6238142,3946529,2093343,198270,42338,948070
Wyoming,1998,703280,47201,330204,325875,706801,603356,366104,216102,21150,1486,84596
Alabama,1999,4471546,393095,2752653,1325798,4622810,3877609,2399626,1208081,269902,171412,515798
Alaska,1999,1243227,187153,740163,315911,1289988,1146923,705069,403903,37951,4946,119079
Arizona,1999,5085826,495708,2259753,2330365,5072471,3926376,2272859,1426620,226897,38006,871345
Arkansas,1999,2684966,232382,2001992,450592,2650808,2353872,1424443,767854,161575,16091,196954
California,1999,41393435,3599923,23695095,14098417,40834643,33995744,21110543,11539910,1345291,609071,4738866
Colorado,1999,4740254,234939,2004039,2501276,5040224,4108266,2401914,1565012,141340,38242,628011
Connecticut,1999,5460213,208565,2074271,3177377,5269517,4701939,3016240,1535406,150293,29496,300611
Delaware,1999,1004472,61485,646592,296395,960335,853538,529808,291268,32462,9594,70433
District of Columbia,1999,758072,122970,0,635102,738942,693386,314138,351290,27958,1783,43773
Florida,1999,17093036,1266927,8719985,7106124,16156822,13209708,7611469,4934846,663393,468605,2092359
Georgia,1999,10380164,672868,5148120,4559176,10106670,8510968,5328497,2710664,471807,44956,1354872
Hawaii,1999,1328572,130547,1166940,31085,1357649,1143893,718107,350077,75709,32701,181055
Idaho,1999,1405250,96761,867752,440737,1409367,1225796,763181,408262,54353,3252,148467
Illinois,1999,16208970,1089732,5665008,9454230,16783840,13598108,8205446,4827070,565592,121274,2243726
Indiana,1999,8167164,377681,4094272,3695211,8196714,6552369,4027481,2251783,273105,97019,808948
Iowa,1999,3740509,186056,1776000,1778453,3789049,3103451,1815795,1054419,233237,12126,340182
Kansas,1999,3390596,201872,2093218,1095506,3189867,2795668,1590684,1031073,173911,30126,218426
Kentucky,1999,4188131,379440,2584984,1223707,4305678,3690091,2236724,1254812,198555,46461,477275
Louisiana,1999,4641847,532951,2364871,1744025,4702496,4166780,2547187,1328631,290962,17628,418504
Maine,1999,1708133,88888,740050,879195,1699835,1502412,1000023,447288,55101,15507,86425
Maryland,1999,6850334,372016,2686695,3791623,6892276,6039479,3660046,2096627,282806,21369,608284
Massachusetts,1999,8388120,413600,3571654,4402866,8673439,7800395,5220083,2332767,247545,24267,425998
Michigan,1999,15248112,1018825,9519308,4709979,15837858,12444300,7222378,4848897,373025,328564,1875573
Minnesota,1999,6949149,322148,3873937,2753064,7450965,5715980,3622534,1855510,237936,259137,965469
Mississippi,1999,2532681,339359,1374920,818402,2811852,2282887,1377699,730765,174423,7031,455812
Missouri,1999,6238901,403205,2964597,2871099,6228001,5286171,3267404,1780317,238450,115735,615448
Montana,1999,1049369,115211,466300,467858,1026263,940780,590589,313874,36317,3771,69898
Nebraska,1999,2212104,150963,805824,1255317,2062226,1751687,1127843,541116,82728,2633,244788
Nevada,1999,2089048,92027,1324474,672547,2298474,1734397,1038564,642090,53743,11774,448757
New Hampshire,1999,1498286,58224,127705,1312357,1491560,1304713,859115,401938,43660,3302,84168
New Jersey,1999,14977501,534670,5870448,8572383,14927302,12981239,7900043,4702475,378721,158253,1113055
New Mexico,1999,2068337,277349,1509815,281173,2098998,1780925,998467,688769,93689,10685,276238
New York,1999,30215370,1794853,12605931,15814586,31841870,26967863,18323434,7913623,730806,162558,3309820
North Carolina,1999,8476795,557142,5558333,2361320,8674393,7055311,4434300,2202906,418105,54394,1365695
North Dakota,1999,770094,92078,287048,390968,756337,621824,380850,192729,48245,4800,73822
Ohio,1999,14507056,787687,6041429,7677940,13865260,12107440,7115101,4550926,441413,239692,1206274
Oklahoma,1999,3788901,333408,2158427,1297066,3817848,3302753,1934516,1155058,213179,153171,320344
Oregon,1999,4080653,284390,2299646,1496617,4172435,3696202,2184194,1385373,126635,25467,328891
Pennsylvania,1999,16361921,919648,5963486,9478787,17113809,13625995,8562120,4564230,499645,150470,1843095
Rhode Island,1999,1358566,77904,568748,711914,1289045,1219328,792559,382899,43870,7885,28611
South Carolina,1999,4365352,342400,2278900,1744052,4610436,3753248,2222890,1306221,224137,42601,702407
South Dakota,1999,825851,84745,295753,445353,838078,685687,425090,228657,31940,1994,123444
Tennessee,1999,5059587,417870,2369846,2271871,5446555,4625554,3008844,1369969,246741,44796,669601
Texas,1999,26096023,2161662,10802214,13132147,27883593,22218388,13486659,7594544,1137185,168952,3970379
Utah,1999,2425600,174299,1481463,769838,2448591,2005959,1314796,568221,122942,65163,312833
Vermont,1999,1147600,52814,677199,417587,1129982,792665,508426,261788,22451,2274,44146
Virginia,1999,8331336,418359,3512788,4400189,8335873,7063943,4360356,2423486,280101,161414,875124
Washington,1999,7288143,486500,4696554,2105089,7489129,6103896,3644065,2163836,295995,34129,1053316
West Virginia,1999,2190420,188865,1355717,645838,2169432,1971370,1216907,637240,117223,29230,155822
Wisconsin,1999,7415243,323924,4051567,3039752,7875805,6519749,4082725,2218556,218468,31251,986589
Wyoming,1999,780875,57983,408271,314621,739019,651101,390565,237461,23075,1754,71423
Alabama,2000,4885917,425978,3003814,1456125,5003267,4150353,2551713,1319053,279587,116322,663903
Alaska,2000,1313510,199520,774194,339796,1386904,1174936,717725,417637,39574,7208,184546
Arizona,2000,5479168,534619,2481089,2463460,5397194,4291622,2488932,1573568,229122,41549,768425
Arkansas,2000,2844855,254735,2126099,464021,2683400,2468663,1531232,804253,133178,5042,146666
California,2000,46628207,4024940,26877920,15725347,45829753,37392741,23514388,12429070,1449283,820320,5849441
Colorado,2000,5073266,266207,2083318,2723741,5444193,4365480,2539372,1674044,152064,39137,782711
Connecticut,2000,5884078,234321,2298931,3350826,5605280,4974666,3189123,1634888,150655,29984,369278
Delaware,2000,1098555,69540,716375,312640,1040480,917987,571982,313410,32595,10035,79176
District of Columbia,2000,881423,184825,0,696598,858807,769492,318260,429891,21341,1766,87549
Florida,2000,17558787,1398757,8804217,7355813,17180954,13553012,7751117,5113323,688572,462568,2792662
Georgia,2000,11197766,710741,5406709,5080316,10884510,9129995,5701293,2931538,497164,49232,1520834
Hawaii,2000,1404895,127042,1247256,30597,1363511,1213937,765134,373038,75765,33602,115972
Idaho,2000,1452222,109898,888384,453940,1467977,1280218,798629,425211,56378,3357,153472
Illinois,2000,17595047,1283052,6344130,9967865,18073190,14569204,8738312,5245226,585666,131126,2467748
Indiana,2000,8489991,426266,4300608,3763109,8518477,6793110,4143020,2373445,276645,98381,841171
Iowa,2000,3822452,217060,1879158,1726234,3974813,3255613,1906755,1104075,244783,16117,353405
Kansas,2000,3518271,221530,2201788,1094953,3327090,2932684,1661540,1092448,178696,30642,206141
Kentucky,2000,4330089,426956,2612740,1290393,4510972,3838770,2345581,1284053,209136,51264,515109
Louisiana,2000,4785331,556240,2361704,1867387,4807097,4275814,2601684,1384760,289370,17842,414669
Maine,2000,1792390,104497,761317,926576,1842276,1589292,1053067,474866,61359,16290,143112
Maryland,2000,7419047,409021,2804218,4205808,7355698,6345645,3874590,2189499,281556,18488,760810
Massachusetts,2000,9464271,480898,3926522,5056851,9466363,8399481,5624037,2503616,271828,52085,533702
Michigan,2000,15939477,1030238,9942275,4966964,16580526,13221493,7709336,5109653,402504,340223,1866666
Minnesota,2000,7344747,330914,4265438,2748395,7736391,6021519,3825732,1942294,253493,277836,901829
Mississippi,2000,2743284,368830,1504225,870229,2996474,2510567,1524728,810371,175468,7650,421075
Missouri,2000,6675260,437898,3097822,3139540,6708608,5615265,3459281,1913563,242421,131639,756817
Montana,2000,1104935,130928,487115,486892,1051768,979001,613132,327975,37894,3491,57419
Nebraska,2000,2263952,152143,812998,1298811,2165529,1851206,1188826,570910,91470,3169,243866
Nevada,2000,2252416,110210,1378678,763528,2437438,1867847,1114489,695694,57664,12301,428541
New Hampshire,2000,1586869,54657,865318,666894,1640395,1394070,902062,445733,46275,3471,130011
New Jersey,2000,15651060,578978,6093162,8978920,15907248,13697874,8244717,5041897,411260,157542,1320024
New Mexico,2000,2191695,296222,1571088,324385,2165031,1865156,1048533,727644,88979,12500,255735
New York,2000,31906526,1938590,13766358,16201578,33683043,29002444,19856637,8377510,768297,289579,3266115
North Carolina,2000,9064700,622184,5897936,2544580,9275837,7642477,4854623,2356589,431265,47918,1385226
North Dakota,2000,812982,96940,303132,412910,802768,657388,402602,204117,50669,5139,81274
Ohio,2000,15327834,843432,6425872,8058530,14909952,12854554,7497388,4889221,467945,257672,1378528
Oklahoma,2000,3906833,377776,2162799,1366258,3876871,3382480,1928222,1226386,227872,159881,286261
Oregon,2000,4369400,268568,2457202,1643630,4398318,3850829,2288931,1433944,127954,20650,391189
Pennsylvania,2000,17090654,1022578,6163912,9904164,17861852,14228931,8818088,4887123,523720,158021,1851099
Rhode Island,2000,1464820,81655,610999,772166,1388454,1316277,845667,421472,49138,8358,30587
South Carolina,2000,4690418,366587,2420494,1903337,4961392,4077416,2426139,1418846,232431,46409,716110
South Dakota,2000,868161,105960,302405,459796,898609,723546,443779,245481,34286,2673,144296
Tennessee,2000,5338531,462000,2429713,2446818,5805181,4895577,3166208,1471174,258195,48827,743326
Texas,2000,28918934,2406972,12471856,14040106,31067935,24528662,15018072,8307904,1202686,169028,4719976
Utah,2000,2546642,189502,1507711,849429,2478420,2079820,1355794,596620,127406,64890,270172
Vermont,2000,1211370,65052,711259,435059,1193813,863644,555740,283821,24083,5512,39112
Virginia,2000,8911426,491873,3761983,4657570,9154676,7756383,4823780,2639328,293275,54255,1011384
Washington,2000,7620930,543966,4812796,2264168,7811937,6417947,3818756,2285577,313614,37089,1048059
West Virginia,2000,2243151,210082,1365346,667723,2243563,2069860,1271988,672003,125869,30906,129872
Wisconsin,2000,7848352,354829,4292527,3200996,8183251,6773151,4225688,2316000,231463,33692,958597
Wyoming,2000,787323,66085,408356,312882,769923,683470,417424,242832,23214,1685,70579
Alabama,2001,4832946,466150,2879636,1487160,5086045,4328482,2656393,1374265,297824,128657,540284
Alaska,2001,1325498,229297,732985,363216,1402839,1222229,701053,479510,41666,6646,150279
Arizona,2001,5916342,580043,2729793,2606506,5858385,4475941,2538936,1701945,235060,34097,1035457
Arkansas,2001,2974588,274406,2135281,564901,2951677,2633363,1616883,877225,139255,14045,235346
California,2001,53288943,4280358,31374889,17633696,52082540,42379615,26641811,14127664,1610140,960084,6755895
Colorado,2001,5372784,292518,2222723,2857543,5727966,4719856,2709184,1844900,165772,43440,672080
Connecticut,2001,6331569,256685,2389572,3685312,5987680,5309029,3360042,1748476,200511,30729,385785
Delaware,2001,1153831,77483,754926,321422,1175717,998760,613955,349525,35280,10696,132922
District of Columbia,2001,1042261,114876,0,927385,1026146,830298,412276,394656,23366,11742,184106
Florida,2001,18467090,1563902,9120855,7782333,18389394,14658042,8412975,5514993,730074,467706,2868679
Georgia,2001,12271962,758799,5945868,5567295,11853800,9983503,6336556,3131291,515656,51300,1620496
Hawaii,2001,1682332,140953,1511318,30061,1363164,1216614,732512,412203,71899,33606,112944
Idaho,2001,1571348,123520,964414,483414,1535485,1376545,853733,461819,60993,3903,124442
Illinois,2001,18534372,1411096,6637462,10485814,19337580,15540700,9317202,5702703,520795,143607,2637635
Indiana,2001,9124748,444861,4590018,4089869,8991877,7208321,4364661,2553481,290179,105729,832585
Iowa,2001,4068110,239495,1943702,1884913,4211493,3421922,1994331,1171278,256313,15283,405205
Kansas,2001,3681845,238960,2253677,1189208,3491029,3068705,1721113,1159966,187626,33075,209716
Kentucky,2001,4536133,446180,2727410,1362543,4350588,4046209,2467964,1372283,205962,48482,156395
Louisiana,2001,4982369,577645,2425436,1979288,4939894,4409725,2654239,1457593,297893,19032,409235
Maine,2001,1914551,112074,812384,990093,1958646,1693218,1118171,513216,61831,18052,149225
Maryland,2001,7864290,467001,2928704,4468585,7981362,6888648,4172982,2366854,348812,20481,813068
Massachusetts,2001,10613329,490388,4328575,5794366,10572138,9125150,6135199,2711995,277956,60752,944333
Michigan,2001,16772419,1090642,10480592,5201185,17573761,13997222,8136476,5430837,429909,365698,2007947
Minnesota,2001,7836617,350797,4694722,2791098,8221636,6362234,3981906,2112589,267739,301333,964810
Mississippi,2001,2823151,385896,1519788,917467,2930393,2578474,1548979,847817,181678,8978,282202
Missouri,2001,7081783,464119,3272289,3345375,7100685,6018008,3659465,2100767,257776,144457,715516
Montana,2001,1139959,128783,537866,473310,1129098,1033130,638218,354844,40068,4388,73732
Nebraska,2001,2355374,166068,806280,1383026,2344564,1987879,1256013,634842,97024,3415,278832
Nevada,2001,2381897,118318,1438406,825173,2692840,1968648,1171360,734647,62641,13785,575873
New Hampshire,2001,1757828,76689,884225,796914,1796043,1472775,937479,486152,49144,3999,166814
New Jersey,2001,16854895,620507,6617681,9616707,17144456,14726467,8782754,5499870,443843,166398,1466889
New Mexico,2001,2373143,327191,1691663,354289,2315182,1958675,1096488,761848,100339,14219,308741
New York,2001,34373567,1912495,16032781,16428291,38062603,31996436,22052316,9100764,843356,313760,4579196
North Carolina,2001,9670620,661215,6065716,2943689,9807815,8237357,5187906,2587298,462153,46341,1307270
North Dakota,2001,818139,102694,301755,413690,814838,689967,419201,218137,52629,5820,57760
Ohio,2001,16693845,956899,7088781,8648165,16282257,13822511,8001840,5327100,493571,275918,1712711
Oklahoma,2001,4257128,419762,2394346,1443020,4288405,3746439,2119420,1386368,240651,177198,322947
Oregon,2001,4561948,327582,2565977,1668389,4715944,4125977,2435402,1553819,136756,23894,419442
Pennsylvania,2001,17792997,1083862,6305118,10404017,18666522,14877657,9182658,5142302,552697,156198,1869506
Rhode Island,2001,1592622,88341,663991,840290,1504125,1423043,920848,464571,37624,11949,27392
South Carolina,2001,5437615,430966,2924025,2082624,5492539,4452877,2660503,1545738,246636,51209,843817
South Dakota,2001,886661,104645,316617,465399,956964,779749,471683,272177,35889,3792,143663
Tennessee,2001,5560822,494851,2494453,2571518,6165661,5112736,3282993,1556508,273235,50094,868777
Texas,2001,30868844,2631160,12688089,15549595,33201450,26224555,15916451,9050782,1257322,219465,4898465
Utah,2001,2741771,228659,1588164,924948,2669621,2227774,1438459,653354,135961,64514,311553
Vermont,2001,1300273,60383,732580,507310,1306513,923994,595191,303287,25516,3261,62053
Virginia,2001,9493862,531724,3976620,4985518,9862715,8334614,5142049,2865861,326704,52275,1113113
Washington,2001,7936037,561773,5032514,2341750,8026334,6644710,3984476,2330122,330112,37183,1028063
West Virginia,2001,2321731,244971,1388046,688714,2310098,2133433,1306105,699263,128065,31868,131916
Wisconsin,2001,8363904,398365,4517924,3447615,8574804,7175190,4434212,2495299,245679,34977,943973
Wyoming,2001,804297,69172,403021,332104,787949,704475,426072,254937,23466,1447,67913
Alabama,2002,5128559,508425,3010983,1609151,5147821,4443354,2720735,1414594,308025,110924,496146
Alaska,2002,1377767,249222,773418,355127,1523327,1275026,747223,485124,42679,7922,215409
Arizona,2002,6192222,619869,2825228,2747125,6018188,4748101,2659448,1833852,254801,32144,966925
Arkansas,2002,3147921,331069,2334551,482301,3087453,2751215,1697645,910208,143362,21641,239177
California,2002,54727056,5084409,31005317,18637330,56464225,45903676,28593157,15568570,1741949,1140465,6998522
Colorado,2002,5849588,338856,2460333,3050399,6237142,5106632,2963406,1967267,175959,49586,779315
Connecticut,2002,6644334,288620,2490036,3865678,6475918,5624401,3570517,1847167,206717,35213,542302
Delaware,2002,1180255,86532,764350,329373,1246284,1037421,645895,352551,38975,12085,154186
District of Columbia,2002,1138126,141514,0,996612,1145684,912432,452905,431693,27834,14358,218894
Florida,2002,18541689,1762460,8542871,8236358,19051049,15142118,8781232,5589428,771458,473688,2999914
Georgia,2002,13042229,904826,6361710,5775693,12690343,10795016,6894589,3341604,558823,57292,1659378
Hawaii,2002,1889600,170152,1684226,35222,1436637,1348381,815123,457784,75474,46141,42115
Idaho,2002,1625444,138930,988386,498128,1666027,1459454,896815,499035,63604,4181,167918
Illinois,2002,19084554,1438287,6808150,10838117,20563001,16473080,9904454,6025120,543506,139595,2897117
Indiana,2002,9273957,523331,4446730,4303896,9353054,7539086,4586033,2650367,302686,63092,875596
Iowa,2002,4191217,273857,1951680,1965680,4418238,3549682,2109878,1180608,259196,18903,459382
Kansas,2002,3823261,282329,2281992,1258940,3690815,3315457,1958937,1195259,161261,5144,231630
Kentucky,2002,4621025,486226,2743882,1390917,4541670,4248829,2598897,1424273,225659,51362,146218
Louisiana,2002,5229238,667687,2536111,2025440,5298267,4726697,2882613,1536497,307587,22050,443002
Maine,2002,2041986,141528,853761,1046697,2057022,1788047,1180701,548552,58794,19298,140092
Maryland,2002,8430663,527311,3133775,4769577,8568446,7321815,4482809,2469485,369521,22674,941083
Massachusetts,2002,11217085,600037,4681737,5935311,11507438,9817711,6256148,3256542,305021,46722,1154305
Michigan,2002,18055855,1254550,11203813,5597492,18881772,14682342,8402799,5841256,438287,423803,2353031
Minnesota,2002,8065042,409915,4771002,2884125,8716123,6464065,4113812,2071915,278338,316890,1283085
Mississippi,2002,3029559,438583,1639832,951144,3026111,2649253,1586661,875637,186955,9554,299474
Missouri,2002,7455539,544538,3347137,3563864,7636924,6405431,3901665,2224948,278818,153326,828732
Montana,2002,1168799,151981,554360,462458,1163960,1066293,662030,361751,42512,5365,70448
Nebraska,2002,2528312,199359,879775,1449178,2562812,2110837,1338653,667614,104570,2987,365430
Nevada,2002,2592064,152525,1582993,856546,2913023,2153161,1343669,738868,70624,16813,604874
New Hampshire,2002,1887115,85440,943592,858083,1956047,1623749,1047490,523976,52283,5276,186830
New Jersey,2002,18071365,720470,7336383,10014512,18155147,15748455,9328162,5983500,436793,174656,1406121
New Mexico,2002,2537261,352892,1832491,351878,2542684,2115495,1195658,814180,105657,18055,373224
New York,2002,35748163,2206496,17337735,16203932,39585780,33416494,23167459,9379511,869524,313952,4809068
North Carolina,2002,9701231,777970,5929203,2994058,9882399,8438988,5339340,2625671,473977,49356,1133555
North Dakota,2002,846759,111063,303280,432416,838666,712736,435631,224356,52749,5774,57468
Ohio,2002,17589983,982401,7811620,8795962,17608944,14655538,8477091,5665971,512476,272400,2128307
Oklahoma,2002,4370415,497834,2345888,1526693,4467944,3888380,2193731,1439564,255085,190676,341768
Oregon,2002,4772603,395295,2662513,1714795,4980466,4214129,2475697,1597299,141133,30372,557041
Pennsylvania,2002,18586743,1290818,6637673,10658252,20018554,15705711,9673879,5448465,583367,174119,2252267
Rhode Island,2002,1633707,96488,676371,860848,1600087,1488912,964169,484397,40346,15827,27003
South Carolina,2002,5627004,494207,2857497,2275300,5897462,4708990,2832106,1620800,256084,59164,956612
South Dakota,2002,930874,127130,346086,457658,989492,803352,485846,279064,38442,4192,149374
Tennessee,2002,5785857,550490,2544653,2690714,6363357,5371481,3478604,1624709,268168,60378,762594
Texas,2002,32802734,2941562,12930564,16930608,35668486,27743139,16826484,9580137,1336518,246449,5399775
Utah,2002,2865058,238599,1680625,945834,2924051,2349550,1534954,683525,131071,69501,426219
Vermont,2002,1387074,68819,766164,552091,1392880,982348,628188,326292,27868,3818,65657
Virginia,2002,9914221,624507,4002347,5287367,10209197,8718496,5373701,3003921,340874,58483,1127185
Washington,2002,8250593,640386,5194962,2415245,8362656,6957885,4182265,2430537,345083,37645,1037135
West Virginia,2002,2413744,258017,1451026,704701,2427316,2185993,1346601,710125,129267,33751,194544
Wisconsin,2002,8624767,450159,4682300,3492308,8863966,7507331,4642886,2601068,263377,61783,863118
Wyoming,2002,908719,75498,443525,389696,868607,761826,463839,272836,25151,2337,92550
Alabama,2003,5196054,567704,2966981,1661369,5298932,4656396,2817111,1521462,317823,106839,432279
Alaska,2003,1425948,259423,813371,353154,1610289,1322238,763525,514052,44661,11054,247005
Arizona,2003,6529894,740579,2912629,2876686,6210287,5032013,2810907,1964229,256877,47047,864642
Arkansas,2003,3241275,379947,2394336,466992,3242811,2887166,1768713,972610,145843,24924,247245
California,2003,59815855,5795655,33617766,20402434,59749885,48295097,29561563,17030335,1703199,1292568,7341541
Colorado,2003,6297242,400219,2715219,3181804,6685029,5501914,3168745,2149761,183408,53072,821129
Connecticut,2003,6959891,351001,2481901,4126989,6751815,5890450,3721466,1951609,217375,34950,539870
Delaware,2003,1242436,91986,794472,355978,1317447,1081995,673997,367660,40338,13061,171247
District of Columbia,2003,1114061,152599,0,961462,1105963,902317,473414,406078,22825,9368,194278
Florida,2003,19549835,1956803,8689141,8903891,20180142,16361004,9622598,5938231,800175,425099,2924134
Georgia,2003,13524807,1051973,6551699,5921135,13516783,11553314,7352918,3615906,584490,65390,1705482
Hawaii,2003,2078877,170377,1873318,35182,1602392,1489091,888473,521929,78689,50252,63049
Idaho,2003,1685984,162530,994022,529432,1726941,1499638,924434,510284,64920,4752,185850
Illinois,2003,19627346,1618724,6792637,11215985,21278177,17326316,10409933,6336325,580058,126700,2727980
Indiana,2003,8246076,582940,4569923,3093213,9777720,7950277,4785880,2848989,315408,62271,859389
Iowa,2003,4374803,304688,1974708,2095407,4517990,3632642,2157225,1208401,267016,17780,459042
Kansas,2003,4068800,311152,2397661,1359987,3818740,3427002,2068389,1196089,162524,4741,235653
Kentucky,2003,4872025,503734,2904331,1463960,4700494,4392320,2688476,1473773,230071,52402,127011
Louisiana,2003,5478321,739078,2638985,2100258,5515322,4967604,3009591,1645457,312556,25153,409705
Maine,2003,2162605,163516,874208,1124881,2154117,1883563,1255095,569146,59322,20169,137716
Maryland,2003,8700979,571108,3317403,4812468,8732518,7732045,4738579,2630831,362635,23300,674852
Massachusetts,2003,11591832,712487,4757632,6121713,11382398,10280196,6521028,3444135,315033,41356,424368
Michigan,2003,18488359,1357006,11227903,5903450,19680370,15324814,8725075,6144707,455032,389730,2453532
Minnesota,2003,8484497,463746,6064474,1956277,8938770,6733259,4318736,2130933,283590,330309,1204124
Mississippi,2003,3260771,482904,1754451,1023416,3205193,2859065,1702193,965269,191603,11994,267397
Missouri,2003,7622601,559732,3430809,3632060,7905481,6712987,4087984,2334521,290482,158270,767068
Montana,2003,1205602,171819,553269,480514,1214879,1115426,687104,384824,43498,5072,75983
Nebraska,2003,2600831,225861,878715,1496255,2623966,2205872,1414919,683210,107743,4402,329746
Nevada,2003,2778564,191839,1663026,923699,3009028,2247951,1406660,767835,73456,15529,576610
New Hampshire,2003,2028602,101294,957471,969837,2122604,1744654,1119824,570036,54794,6036,214807
New Jersey,2003,19785039,797717,8135014,10852308,19812932,17103026,10169992,6429003,504031,173237,1626453
New Mexico,2003,2626262,383513,1905419,337330,2658140,2200112,1239571,851701,108840,22337,399406
New York,2003,38033080,2591430,17509618,17932032,41603390,35626549,24786376,10000845,839328,317599,4489672
North Carolina,2003,9907235,888996,5970302,3047937,9989670,8722007,5517870,2721749,482388,46306,940500
North Dakota,2003,882913,126023,306647,450243,895278,741934,448720,239435,53779,6229,81014
Ohio,2003,18018740,1097349,7844992,9076399,18760200,15585874,8958790,6097596,529488,271442,2324140
Oklahoma,2003,4426835,563974,2272785,1590076,4376502,3824707,2158574,1402007,264126,189680,307213
Oregon,2003,4592019,407432,2348070,1836517,4978764,4146019,2458415,1546156,141448,34219,606048
Pennsylvania,2003,19811545,1419644,6912678,11479223,20626459,16551201,10151195,5765734,634272,175939,1848552
Rhode Island,2003,1728055,109011,713197,905847,1646238,1539682,971700,525727,42255,22003,31360
