Subject,Total,Males,Females
Population 18 to 24 years,"31,368,674","16,071,993","15,296,681"
  Less than high school graduate,"4,503,448","2,647,327","1,856,121"
  High school graduate (includes equivalency),"9,321,843","5,250,852","4,070,991"
  Some college or associate's degree,"14,459,475","6,894,271","7,565,204"
  Bachelor's degree or higher,"3,083,908","1,279,543","1,804,365"
